65264,Žriedlová,2981
42781,Robotnícka,2334
43978,Spojná,1269
41178,Niťová,3001
43160,Ulica Ferka Urbánka,2598
68495,Krátka,780
71922,Račianska,2975
58862,Potočná,654
50338,Petöfiho,1046
49901,Švermova,1269
47341,Mlynská,457
54194,Stračia,320
50691,Ul. Ľ. Ivana,1485
53530,Jozefa Vuruma,320
53836,Ondavská,320
70631,Podlipa,192
61338,Jána Bottu,2124
51043,Poštová,1544
70413,Na Skotni,807
46358,Ľ. Podjavorinskej,2586
48254,Ladislava Môcika,712
62295,Kút,1401
70596,Muštová,3003
53763,Mládeže,2477
70218,Lapšárska ulica,1889
69267,Žánovská,2233
47232,Bohuslavická ulica,1861
49801,Gemerská,3008
65520,Ružová,3026
55401,Mierová,2833
50385,Pražské námestie,1269
49836,Pod briežkom,3008
50920,Orechový Rad,2075
71566,Hlavná,168
66864,Partizánska,816
62087,Rhodyho,395
54780,Vážska,1380
65046,Repná,2983
44788,Hlohová,897
48718,Astrová,1961
64858,Kisdyho,2980
39144,Úprkova,3004
60952,Švermova,1841
57621,Bernolákova,2082
66443,Milovaná,1699
42749,Osada,1846
62258,Alejová,2202
52487,P. J. Šafárika,210
60126,Leninova,542
